month,1950-1980,1980-2010,2010-2023
1,0.058,0.058,0.062
2,0.057,0.057,0.069
3,0.086,0.081,0.085
4,0.097,0.097,0.109
5,0.1,0.114,0.116
6,0.096,0.109,0.11
7,0.092,0.103,0.099
8,0.087,0.095,0.094
9,0.083,0.089,0.084
10,0.065,0.079,0.088
11,0.069,0.079,0.066
12,0.064,0.068,0.075
