month,1950-1980,1980-2010,2010-2023
1,267.092,268.53,269.05
2,269.275,270.522,270.117
3,274.614,276.068,276.878
4,282.083,282.811,282.712
5,288.437,288.812,289.306
6,293.66,293.89,294.7
7,296.1,296.372,296.952
8,295.271,295.657,295.891
9,291.217,291.426,292.39
10,285.039,284.689,285.424
11,277.158,277.761,277.824
12,270.563,270.889,272.701
